,price,state,prev_state,latest_uptrend,latest_downtrend,latest_rally,latest_reaction,latest_second_rally,latest_second_reaction,redline_uptrend,redline_reaction,blackline_downtrend,blackline_rally,Date
93,368.9617919921875,uptrend,uptrend,368.9617919921875,324.4732971191406,367.2742919921875,362.4091491699219,351.2604675292969,328.69970703125,365.7841491699219,362.4091491699219,324.4732971191406,363.18011474609375,2020-12-31
94,363.9387817382813,reaction,uptrend,368.9617919921875,324.4732971191406,367.2742919921875,363.9387817382813,351.2604675292969,328.69970703125,368.9617919921875,362.4091491699219,324.4732971191406,367.2742919921875,2021-01-04
95,366.4453125,second_rally,reaction,368.9617919921875,324.4732971191406,367.2742919921875,363.9387817382813,366.4453125,328.69970703125,368.9617919921875,362.4091491699219,324.4732971191406,367.2742919921875,2021-01-05
96,368.6361083984375,rally,second_rally,368.9617919921875,324.4732971191406,368.6361083984375,363.9387817382813,366.4453125,328.69970703125,368.9617919921875,363.9387817382813,324.4732971191406,367.2742919921875,2021-01-06
97,374.1131286621094,uptrend,rally,374.1131286621094,324.4732971191406,368.6361083984375,363.9387817382813,366.4453125,328.69970703125,368.9617919921875,363.9387817382813,324.4732971191406,367.2742919921875,2021-01-07
98,376.2447204589844,uptrend,uptrend,376.2447204589844,324.4732971191406,368.6361083984375,363.9387817382813,366.4453125,328.69970703125,368.9617919921875,363.9387817382813,324.4732971191406,367.2742919921875,2021-01-08
99,373.7085266113281,reaction,uptrend,376.2447204589844,324.4732971191406,368.6361083984375,373.7085266113281,366.4453125,328.69970703125,376.2447204589844,363.9387817382813,324.4732971191406,368.6361083984375,2021-01-11
100,373.7874755859375,reaction,reaction,376.2447204589844,324.4732971191406,368.6361083984375,373.7085266113281,366.4453125,328.69970703125,376.2447204589844,363.9387817382813,324.4732971191406,368.6361083984375,2021-01-12
101,374.7940673828125,reaction,reaction,376.2447204589844,324.4732971191406,368.6361083984375,373.7085266113281,366.4453125,328.69970703125,376.2447204589844,363.9387817382813,324.4732971191406,368.6361083984375,2021-01-13
102,373.4815673828125,reaction,reaction,376.2447204589844,324.4732971191406,368.6361083984375,373.4815673828125,366.4453125,328.69970703125,376.2447204589844,363.9387817382813,324.4732971191406,368.6361083984375,2021-01-14
103,370.75787353515625,reaction,reaction,376.2447204589844,324.4732971191406,368.6361083984375,370.75787353515625,366.4453125,328.69970703125,376.2447204589844,363.9387817382813,324.4732971191406,368.6361083984375,2021-01-15
104,373.6690673828125,rally,reaction,376.2447204589844,324.4732971191406,373.6690673828125,370.75787353515625,366.4453125,328.69970703125,376.2447204589844,370.75787353515625,324.4732971191406,368.6361083984375,2021-01-19
105,378.8401489257813,uptrend,rally,378.8401489257813,324.4732971191406,373.6690673828125,370.75787353515625,366.4453125,328.69970703125,376.2447204589844,370.75787353515625,324.4732971191406,368.6361083984375,2021-01-20
106,379.1855163574219,uptrend,uptrend,379.1855163574219,324.4732971191406,373.6690673828125,370.75787353515625,366.4453125,328.69970703125,376.2447204589844,370.75787353515625,324.4732971191406,368.6361083984375,2021-01-21
107,377.8434143066406,uptrend,uptrend,379.1855163574219,324.4732971191406,373.6690673828125,370.75787353515625,366.4453125,328.69970703125,376.2447204589844,370.75787353515625,324.4732971191406,368.6361083984375,2021-01-22
108,379.3335571289063,uptrend,uptrend,379.3335571289063,324.4732971191406,373.6690673828125,370.75787353515625,366.4453125,328.69970703125,376.2447204589844,370.75787353515625,324.4732971191406,368.6361083984375,2021-01-25
109,378.7414855957031,uptrend,uptrend,379.3335571289063,324.4732971191406,373.6690673828125,370.75787353515625,366.4453125,328.69970703125,376.2447204589844,370.75787353515625,324.4732971191406,368.6361083984375,2021-01-26
